"phenotype","risk_score","t","p","adj.r","t_w_prs","p_w_prs","adj.r_prs","anova_p","AIC","AIC_w_prs","prs_ad_t","prs_ad_p","p_adj","p_prs_adj"
"sqrt(tangles)","pLI (DEL)",0.469324783727354,0.638941792667244,"0.0700266282351373","0.504697252267754","0.613884953412768","0.104371406219433","7.60946488325953e-10","3364.97382011672","3328.5139990707","6.21438055011319","7.60946488325967e-10",0.828897460757506,0.792862137630345
"sqrt(tangles)","pLI (DUP)",1.46961314269515,0.141987176214474,NA,"1.37994465120976","0.167918416992318",NA,NA,"3364.97382011672","3328.5139990707",NA,NA,0.309790202649761,0.366367455255966
"sqrt(tangles)","LOEUF (DEL)",0.669532150747279,0.503313625897377,"0.0733710655790303","0.69818940642686","0.485224380497172","0.10782441958321","6.67793992968916e-10","3361.38187408992","3324.66272871993","6.23566415743982","6.67793992968881e-10",0.79167317271752,0.771229118550138
"sqrt(tangles)","LOEUF (DUP)",2.36521562403476,0.018213325038619,NA,"2.36497790523955","0.0182251498176466",NA,NA,"3361.38187408992","3324.66272871993",NA,NA,0.0971377335393013,0.110135177397053
"sqrt(tangles)","pHI",0.222679374360563,0.823831408881586,"0.071396859794623","0.241696812665377","0.809065663172669","0.105418368618","8.86812035037222e-10","3363.5037476139","3327.34785487635","6.1893500777826","8.8681203503715e-10",0.898725173325366,0.871387828338287
"sqrt(tangles)","pTS",1.91590753010023,0.0556672781801882,NA,"1.77181465948908","0.0767360190940774",NA,NA,"3363.5037476139","3327.34785487635",NA,NA,0.157178197214649,0.210380309323513
"sqrt(tangles)","pHI (binarized)",-0.138831998845533,0.889611401201651,"0.0746181999161197","-0.0574074240152943","0.954232351777613","0.10762620131976","1.46846190753182e-09","3360.03912472151","3324.88421164642","6.10624227079228","1.46846190753184e-09",0.912720306007701,0.954232351777613
"sqrt(tangles)","pTS (binarized)",2.65921676697067,0.00795987112546328,NA,"2.35220197489465","0.0188596666674598",NA,NA,"3360.03912472151","3324.88421164642",NA,NA,0.0764147628044475,0.110135177397053
"sqrt(amyloid)","pLI (DEL)",-0.248348404945618,0.803916616341035,"0.0404902402701134","-0.23156235942122","0.816926089067144","0.0551973943910192","5.72777716973314e-05","3072.93396213844","3058.52924520371","4.04139603858934","5.72777716973324e-05",0.89739529265976,0.871387828338287
"sqrt(amyloid)","pLI (DUP)",1.75593295816978,0.0794106315029686,NA,"1.68927662831162","0.0914832213862666",NA,NA,"3072.93396213844","3058.52924520371",NA,NA,0.190585515607125,0.21955973132704
"sqrt(amyloid)","LOEUF (DEL)",-0.278436095497066,0.780736053544028,"0.0385965056906864","-0.268103945420648","0.788675500057498","0.053508575200324","5.20115535802671e-05","3074.90763682067","3060.31691907357","4.06432971878219","5.2011553580271e-05",0.892269775478889,0.871387828338287
"sqrt(amyloid)","LOEUF (DUP)",1.06109999145559,0.288904562861773,NA,"1.03782275799015","0.299607534516558",NA,NA,"3074.90763682067","3060.31691907357",NA,NA,0.513608111754263,0.532635616918325
"sqrt(amyloid)","pHI",-0.560314376391394,0.575392434701338,"0.03990178902298","-0.553181021008181","0.58026511590154","0.0545381279864454","5.98451349132297e-05","3073.54767048496","3059.22748156751","4.03093212839436","5.98451349132319e-05",0.79167317271752,0.792862137630345
"sqrt(amyloid)","pTS",1.53346934632008,0.125481364405087,NA,"1.42418139018656","0.154711005582811",NA,NA,"3073.54767048496","3059.22748156751",NA,NA,0.286814547211627,0.353625155617854
"sqrt(amyloid)","pHI (binarized)",-1.17103642698211,0.241867344638953,"0.044104941180497","-1.12467550533001","0.261000832618363","0.0579843226890552","8.77334313536454e-05","3069.15583662501","3055.57218539531","3.93861649028692","8.77334313536563e-05",0.46438530170679,0.488285029264787
"sqrt(amyloid)","pTS (binarized)",2.53427559738987,0.0114219547820248,NA,"2.3180599629283","0.0206503457619475",NA,NA,"3069.15583662501","3055.57218539531",NA,NA,0.0783219756481701,0.110135177397053
"arteriol_scler","pLI (DEL)",2.24377349359055,0.0250689286272471,"0.0399363731028272","2.24449969293151","0.0250222753805048","0.0391103585794494","0.693907746446246","2717.11038895562","2719.02684580355","0.393673259092259","0.693907746446236",0.120330857410786,0.120106921826423
"arteriol_scler","pLI (DUP)",0.165162481261555,0.868850053598919,NA,"0.156673342237983","0.875534501327215",NA,NA,"2717.11038895562","2719.02684580355",NA,NA,0.912720306007701,0.894162894972475
"arteriol_scler","LOEUF (DEL)",2.41094404788047,0.0160938855410698,"0.0409612820049878","2.41078770029432","0.016100930530097","0.0401362734952151","0.693788623497934","2716.04334415384","2717.95967172964","0.393834644602801","0.693788623498009",0.0965633132464188,0.110135177397053
"arteriol_scler","LOEUF (DUP)",-0.38840786512179,0.697798328546757,NA,"-0.390341100170477","0.696368990787118",NA,NA,"2716.04334415384","2717.95967172964",NA,NA,0.837357994256108,0.827980197984137
"arteriol_scler","pHI",2.53812649499326,0.0112981701561805,"0.0414819665222244","2.53746413053514","0.0113195864823577","0.0406627432133112","0.688719475507494","2715.50081643453","2717.41158607717","0.400711815574903","0.68871947550753",0.0783219756481701,0.108668030230634
"arteriol_scler","pTS",-0.565699219356966,0.571727366480815,NA,"-0.576526342499238","0.564391589214789",NA,NA,"2715.50081643453","2717.41158607717",NA,NA,0.79167317271752,0.792862137630345
"arteriol_scler","pHI (binarized)",2.01058717474346,0.044641791116976,"0.0398343867292017","2.01431214400123","0.0442490337277041","0.0389828825895813","0.719529563254678","2717.21650585584","2719.15936889654","0.359190817534922","0.7195295632547",0.15149849734702,0.192798139895231
"arteriol_scler","pTS (binarized)",0.55757483615765,0.577261688439858,NA,"0.535506957241982","0.592420600944294",NA,NA,"2717.21650585584","2719.15936889654",NA,NA,0.79167317271752,0.792862137630345
"cvda_4gp2","pLI (DEL)",4.46647597686011,8.87312804117495e-06,"0.033079845740885","4.46941564057947","8.75542341718859e-06","0.032586230725652","0.480581787231495","2467.07995817089","2468.64758314199","0.705635880116326","0.480581787231504",0.000139469646077863,0.000133441296619938
"cvda_4gp2","pLI (DUP)",-0.661145091516747,0.508674035879949,NA,"-0.677756678499552","0.498085472396964",NA,NA,"2467.07995817089","2468.64758314199",NA,NA,0.79167317271752,0.771229118550138
"cvda_4gp2","LOEUF (DEL)",4.43951681820303,1.00356523102397e-05,"0.0339801797160675","4.44086801921301","9.9751463958822e-06","0.0334670602210382","0.489671200504086","2466.14838859072","2467.7366691523","0.691091509708402","0.489671200504158",0.000139469646077863,0.000133441296619938
"cvda_4gp2","LOEUF (DUP)",-1.10903288176015,0.26768697108942,NA,"-1.11648428485493","0.264487724185093",NA,NA,"2466.14838859072","2467.7366691523",NA,NA,0.494191331242006,0.488285029264787
"cvda_4gp2","pHI",4.59205326744774,4.95758297433892e-06,"0.0359801583866909","4.59408543204913","4.91112978495621e-06","0.0355285372462628","0.462925280766616","2464.07591368157","2465.60153387692","0.734325862691333","0.4629252807666",0.000139469646077863,0.000133441296619938
"cvda_4gp2","pTS",-1.84792100442739,0.0649137133325455,NA,"-1.87146293343767","0.0615777744972101",NA,NA,"2464.07591368157","2465.60153387692",NA,NA,0.173103235553455,0.204985714973079
"cvda_4gp2","pHI (binarized)",4.40718326837267,1.16224705064886e-05,"0.0319432465686964","4.41696072508741","1.11201080516615e-05","0.0314606631304696","0.475432537866706","2468.25475183214","2469.81038787981","0.713941977526178","0.475432537866682",0.000139469646077863,0.000133441296619938
"cvda_4gp2","pTS (binarized)",-0.570757084017581,0.568294631577499,NA,"-0.612011702108483","0.540671542070309",NA,NA,"2468.25475183214","2469.81038787981",NA,NA,0.79167317271752,0.792862137630345
"cogn_global","pLI (DEL)",-0.478552779556025,0.632361953101098,"0.0461052533042687","-0.48514199501107","0.627682525624023","0.0833684155486755","1.87979905228153e-10","3182.20897257318","3142.97955118811","-6.4380910898387","1.8797990522814e-10",0.828897460757506,0.792862137630345
"cogn_global","pLI (DUP)",-1.27387963722366,0.203003550384291,NA,"-1.17857173069946","0.238850806235161",NA,NA,"3182.20897257318","3142.97955118811",NA,NA,0.406007100768582,0.477701612470322
"cogn_global","LOEUF (DEL)",-0.748784172425601,0.454164267035114,"0.0484054703061647","-0.746585955890647","0.455490070482368","0.0857152003795856","1.74247346549232e-10","3179.7681081219","3140.38784270377","-6.45007909268118","1.7424734654923e-10",0.778567314917338,0.771229118550138
"cogn_global","LOEUF (DUP)",-1.95358699299993,0.0510300035305769,NA,"-1.93369196490395","0.0534346579425738",NA,NA,"3179.7681081219","3140.38784270377",NA,NA,0.153090010591731,0.197297198557196
"cogn_global","pHI",-0.42411052488024,0.671576884616126,"0.0484025085543076","-0.415768072433906","0.677669465187023","0.0852294424268264","2.27916065590788e-10","3179.77125476301","3140.92484263639","-6.4075595668976","2.27916065590776e-10",0.837357994256108,0.827980197984137
"cogn_global","pTS",-1.98567739948025,0.0473432804209438,NA,"-1.8312049857786","0.0673691440496704",NA,NA,"3179.77125476301","3140.92484263639",NA,NA,0.15149849734702,0.204985714973079
"cogn_global","pHI (binarized)",-0.113700078981,0.909498486765925,"0.0486542850553096","-0.17071411083561","0.864483308861915","0.0849114329816162","3.11178325508057e-10","3179.50372597588","3141.2762440618","-6.35793644372989","3.11178325508071e-10",0.912720306007701,0.894162894972475
"cogn_global","pTS (binarized)",-2.05434377752111,0.0402032028720887,NA,"-1.73373300246024","0.0832755391072238",NA,NA,"3179.50372597588","3141.2762440618",NA,NA,0.14844259522002,0.210380309323513
"cogdx","pLI (DEL)",0.399379702601597,0.689613447454168,NA,"0.492855978092917","0.622114354257374",NA,NA,"1257.45717798277","1225.45298579459","5.68678665986475","1.29452006568436e-08",0.837357994256108,0.792862137630345
"cogdx","pLI (DUP)",1.39803728472711,0.162101871099624,NA,"1.35355035151502","0.175879875727274",NA,NA,"1257.45717798277","1225.45298579459",NA,NA,0.338299557077476,0.367053653691702
"cogdx","LOEUF (DEL)",0.623059356129365,0.533245517183098,NA,"0.709423582217498","0.478061657837892",NA,NA,"1256.00194768392","1224.00566447713","5.68641053638112","1.29737300554404e-08",0.79167317271752,0.771229118550138
"cogdx","LOEUF (DUP)",1.79912960809015,0.0719981810830612,NA,"1.75396694495039","0.0794361712797531",NA,NA,"1256.00194768392","1224.00566447713",NA,NA,0.181890141683523,0.210380309323513
"cogdx","pHI",0.281438329743812,0.778374222767619,NA,"0.375574722470428","0.707233085778117",NA,NA,"1254.92707132663","1223.31227641719","5.654505000022","1.56296048524509e-08",0.892269775478889,0.827980197984137
"cogdx","pTS",2.10061408707113,0.0356748564301107,NA,"1.97560497298587","0.0481995349738078",NA,NA,"1254.92707132663","1223.31227641719",NA,NA,0.142699425720443,0.192798139895231
"cogdx","pHI (binarized)",0.109607949313012,0.912720306007701,NA,"0.264884353967295","0.791098551677453",NA,NA,"1254.79130240804","1223.74523370474","5.60747633795505","2.05298069409845e-08",0.912720306007701,0.871387828338287
"cogdx","pTS (binarized)",2.10682944070207,0.0351323665488012,NA,"1.82283376793939","0.068328571657693",NA,NA,"1254.79130240804","1223.74523370474",NA,NA,0.142699425720443,0.204985714973079
